mean,std,no_lost_events,no_thread,sample_size
1389.3,1195.1,0,1,8648640
1629.4,1046.1,0,2,8648640
1736,1266.6,0,4,8648640
1776.1,979.65,0,8,8648640
2012.2,1284.3,0,12,8648640
2435,1461.5,0,16,8648640
2811.7,1668.8,0,20,8648640
2835.5,1557.4,185300,24,8648640
2874.1,1785.2,2770490,28,8648640
2999.5,2446.3,4511800,32,8648640
3164.4,2831.3,4485110,36,8648640
3271.2,7713,4383110,40,8648640
3465.9,4834.6,4417790,44,8648640
3690.1,7886,4657660,48,8648640
3799.4,7823.6,4649160,52,8648640
3992.3,14664,5145900,56,8648640
4165.2,24740,5629380,60,8648640
4262.2,40851,6315670,64,8648640
