mean,std,num_subbuf,subbuf_size,no_thread,sample_size
1539.1,604.63,4,256,1,8648640
1565.5,957.6,4,256,2,8648640
1920.9,1043.2,4,256,4,8648640
1940.5,2894.5,4,256,8,8648640
1901.9,993.81,4,256,12,8648640
1868,961.09,4,256,16,8648640
1880.4,526.6,4,256,20,8648640
1889.4,2415,4,256,24,8648640
1880.5,2426.9,4,256,28,8648640
1908.8,869.75,4,256,32,8648640
2084.4,1235.6,4,256,36,8648640
2259.9,25971,4,256,40,8648640
2395.2,25617,4,256,44,8648640
2510.8,26200,4,256,48,8648640
2584.4,27342,4,256,52,8648640
2650.1,29742,4,256,56,8648640
2721,37424,4,256,60,8648640
2803.5,46145,4,256,64,8648640
