mean,std,no_lost_events,output,overflow,num_subbuf,subbuf_size,no_thread,sample_size
1853.6,779.41,1772176,splice,discard,4,128,1,1000000
1900.6,785.87,1518706,splice,discard,4,256,1,1000000
2020.3,832.42,1019922,splice,discard,4,512,1,1000000
1930.4,786.39,1441863,splice,discard,8,128,1,1000000
2008.3,833.72,951730,splice,discard,8,256,1,1000000
2211.7,906.88,-24,splice,discard,8,512,1,1000000
2023.3,562.2,809715,splice,discard,16,128,1,1000000
2208.3,926.45,-24,splice,discard,16,256,1,1000000
2184.7,835.24,-24,splice,discard,16,512,1,1000000
2143.7,919.47,-24,splice,discard,32,128,1,1000000
2136.8,846.53,-24,splice,discard,32,256,1,1000000
2218.3,877.67,-24,splice,discard,32,512,1,1000000
2140.2,904.88,-24,splice,discard,64,128,1,1000000
2111.4,864.62,-24,splice,discard,64,256,1,1000000
2185.1,843.17,-24,splice,discard,64,512,1,1000000
2114.5,885.13,-24,splice,discard,128,128,1,1000000
2135.8,853.72,-24,splice,discard,128,256,1,1000000
2149.7,857.83,-24,splice,discard,128,512,1,1000000
2095.9,822.58,-24,splice,discard,256,128,1,1000000
2141.8,571.78,-24,splice,discard,256,256,1,1000000
2165.2,904,-24,splice,discard,256,512,1,1000000
1883.8,2414.9,17824441,splice,discard,4,128,1,10000000
1946.7,2390.9,15487954,splice,discard,4,256,1,10000000
1990.7,1226.5,10860386,splice,discard,4,512,1,10000000
1901.9,1209.7,15028182,splice,discard,8,128,1,10000000
2009.9,2570,9893500,splice,discard,8,256,1,10000000
2220.9,2661.7,77017,splice,discard,8,512,1,10000000
1995.3,2395.3,8852484,splice,discard,16,128,1,10000000
2175.3,2555.9,4190,splice,discard,16,256,1,10000000
2188.9,1303.4,-24,splice,discard,16,512,1,10000000
2113.7,1317.4,-24,splice,discard,32,128,1,10000000
2198.6,2557,-24,splice,discard,32,256,1,10000000
2246,2649.9,-24,splice,discard,32,512,1,10000000
2157.2,2534.7,-24,splice,discard,64,128,1,10000000
2180.3,2551.8,-24,splice,discard,64,256,1,10000000
2208,2608.8,-24,splice,discard,64,512,1,10000000
2139.6,1321.4,-186,splice,discard,128,128,1,10000000
2186.2,1313.3,-24,splice,discard,128,256,1,10000000
2241.2,2545.5,-24,splice,discard,128,512,1,10000000
2188.7,2540,-24,splice,discard,256,128,1,10000000
2212.7,2551.4,-24,splice,discard,256,256,1,10000000
2189.9,1329.3,-24,splice,discard,256,512,1,10000000
